turn,player_cards,demon_cards
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,12,4
8,12,4
9,12,4
10,9,7
11,9,7
12,9,7
13,9,7
14,9,7
15,10,6
16,10,6
17,10,6
18,10,6
19,10,6
20,10,6
21,10,6
22,10,6
23,10,6
24,10,6
25,11,5
26,11,5
27,11,5
28,11,5
29,7,5
30,7,5
31,4,5
32,4,5
33,4,5
34,3,7
35,3,7
36,1,10
37,1,10
38,1,10
39,1,10
40,1,10
41,1,10
42,1,10
43,1,6
44,1,6
45,1,6
46,1,6
47,1,2
48,1,2
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,4
57,0,4
58,0,4
59,0,4
60,0,3
61,0,3
0,8,8
1,8,8
2,8,8
3,8,8
4,7,9
5,7,9
6,7,9
7,7,9
8,5,11
9,5,11
10,5,11
11,5,11
12,8,8
13,8,8
14,8,8
15,8,8
16,8,8
17,7,9
18,7,9
19,7,9
20,7,9
21,7,9
22,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,6,10
9,6,10
10,6,10
11,9,7
12,9,7
13,9,7
14,9,7
15,12,4
16,12,4
17,12,4
18,12,4
19,13,3
20,13,3
21,13,3
22,13,3
23,13,3
24,13,3
25,14,2
26,14,2
27,14,2
28,11,5
29,11,5
30,11,5
31,8,4
32,8,4
33,8,4
34,8,4
35,8,4
36,8,4
37,5,3
38,5,3
39,3,1
40,3,1
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,4
49,0,4
50,0,4
51,0,4
52,0,7
53,0,7
54,0,7
55,0,7
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,8
12,5,11
13,5,11
14,5,11
15,5,11
16,5,11
17,9,7
18,9,7
19,11,5
20,11,5
21,11,5
22,8,8
23,8,8
24,8,8
25,8,8
26,8,8
27,10,6
28,10,6
29,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,9,7
6,9,7
7,9,7
8,9,7
9,9,7
10,7,9
11,7,9
12,7,9
13,7,9
14,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,10,6
6,10,6
7,10,6
8,10,6
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
14,10,6
15,10,6
16,10,6
17,10,6
18,10,6
19,10,6
20,10,6
21,10,6
22,10,6
23,7,5
24,7,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,11,5
8,11,5
9,11,5
10,8,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,8,8
17,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,7,9
7,7,9
8,7,9
9,7,9
10,7,9
11,7,9
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,11,5
8,11,5
9,11,5
10,11,5
11,11,5
12,8,8
13,8,8
14,6,10
15,6,10
16,6,10
17,6,10
18,5,11
19,5,11
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,6,10
7,6,10
8,6,10
9,6,10
10,6,10
11,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,6,10
9,6,10
10,6,10
11,6,10
12,6,10
13,7,9
14,7,9
15,7,9
16,7,9
17,9,7
18,9,7
19,9,7
20,6,10
21,6,10
22,6,10
23,7,9
24,7,9
25,7,9
26,7,9
27,7,9
28,4,12
29,4,12
30,3,13
31,3,13
32,3,13
33,3,13
34,3,9
35,3,9
36,3,9
37,3,9
38,3,6
39,3,6
40,3,6
41,6,4
42,6,4
43,6,4
44,6,4
45,6,4
46,5,4
47,5,4
48,5,4
49,5,4
50,5,4
51,2,4
52,2,4
53,2,4
54,1,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,5,11
7,5,11
8,5,11
9,9,7
10,9,7
11,9,7
12,9,7
13,9,7
14,9,7
15,9,7
16,8,8
17,8,8
18,8,8
19,8,8
20,8,8
21,10,6
22,10,6
23,10,6
24,10,6
25,11,5
26,11,5
27,14,2
28,14,2
29,14,2
30,10,6
31,10,6
32,10,6
33,10,6
34,10,6
35,10,6
36,10,6
37,10,6
38,10,6
39,10,6
40,8,4
41,8,4
42,5,3
43,5,3
44,5,3
45,5,3
46,2,2
47,2,2
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,10,6
6,10,6
7,10,6
8,10,6
9,10,6
10,10,6
11,10,6
12,7,9
13,7,9
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,10,6
6,10,6
7,10,6
8,10,6
9,10,6
10,8,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,6,10
17,6,10
18,6,10
19,6,10
20,4,12
21,4,12
22,4,12
23,4,12
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,11,5
6,11,5
7,11,5
8,11,5
9,11,5
10,9,7
11,9,7
12,9,7
13,9,7
14,9,7
15,9,7
16,9,7
17,9,7
18,7,9
19,7,9
20,5,11
21,5,11
22,4,12
23,4,12
24,4,12
25,4,12
26,4,12
27,4,12
28,4,12
29,8,8
30,8,8
31,8,8
32,7,5
33,7,5
34,5,4
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,6,10
7,6,10
8,6,10
9,6,10
10,6,10
11,6,10
12,6,10
13,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,7,9
7,7,9
8,7,9
9,7,9
10,7,9
11,7,9
12,7,9
13,10,6
14,10,6
15,10,6
16,8,8
17,8,8
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,11,5
6,11,5
7,11,5
8,11,5
9,11,5
10,11,5
11,13,3
12,13,3
13,13,3
14,10,6
15,10,6
16,10,6
17,10,6
18,10,6
19,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,7,9
5,7,9
6,7,9
7,7,9
8,7,9
9,7,9
10,4,12
11,4,12
12,4,12
13,4,12
14,4,12
15,6,10
16,6,10
17,6,10
18,4,12
19,4,12
20,4,12
21,4,12
22,3,13
23,3,13
24,3,13
25,3,13
26,3,13
27,3,13
28,3,13
29,7,9
30,7,9
31,7,9
32,7,9
33,9,7
34,9,7
35,9,7
36,9,7
37,9,7
38,9,7
39,7,5
40,7,5
41,7,5
42,5,4
43,5,4
44,5,4
45,5,4
46,5,4
47,5,4
48,4,2
49,4,2
50,3,1
51,3,1
52,3,1
53,3,1
54,2,0
55,2,0
56,2,0
57,2,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,11,5
6,11,5
7,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,6,10
7,6,10
8,5,11
9,5,11
10,5,11
11,5,11
12,5,11
13,5,11
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,4,12
7,4,12
8,4,12
9,4,12
10,4,12
11,8,8
12,8,8
13,8,8
14,8,8
15,10,6
16,10,6
17,10,6
18,10,6
19,10,6
20,10,6
21,10,6
22,8,8
23,8,8
24,7,9
25,7,9
26,4,12
27,4,12
28,4,12
29,4,12
30,4,12
31,8,8
32,8,8
33,8,8
34,8,8
35,8,8
36,8,8
37,10,6
38,10,6
39,10,6
40,7,5
41,7,5
42,7,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,7,9
7,7,9
8,7,9
9,7,9
10,7,9
11,7,9
12,7,9
13,11,5
14,11,5
15,11,5
16,11,5
17,11,5
18,8,8
19,8,8
20,8,8
21,9,7
22,9,7
23,9,7
24,9,7
25,13,3
26,13,3
27,13,3
28,13,3
29,13,3
30,9,7
31,9,7
32,8,8
33,8,8
34,8,8
35,8,8
36,8,8
37,12,4
38,12,4
39,12,4
40,12,4
41,12,4
42,9,3
43,9,3
44,6,2
45,6,2
46,6,2
47,6,2
48,5,1
49,5,1
50,5,1
51,5,1
52,5,1
53,5,1
54,3,1
55,3,1
56,2,1
57,2,1
58,2,1
59,2,1
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
