turn,player_cards,demon_cards
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,5,11
9,5,11
10,5,11
11,5,11
12,9,7
13,9,7
14,9,7
15,11,5
16,11,5
17,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,6,10
9,6,10
10,6,10
11,6,10
12,6,10
13,8,8
14,8,8
15,8,8
16,8,8
17,8,8
18,6,10
19,6,10
20,3,13
21,3,13
22,1,15
23,1,15
24,1,15
25,1,15
26,1,15
27,1,15
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,9,7
10,9,7
11,9,7
12,8,8
13,8,8
14,8,8
15,8,8
16,8,8
17,10,6
18,10,6
19,10,6
20,10,6
21,10,6
22,10,6
23,10,6
24,10,6
25,10,6
26,7,9
27,7,9
28,7,9
29,7,9
30,5,11
31,5,11
32,5,11
33,5,11
34,5,11
35,5,11
36,5,11
37,5,11
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,6,10
7,6,10
8,6,10
9,6,10
10,6,10
11,6,10
12,6,10
13,9,7
14,9,7
15,9,7
16,9,7
17,12,4
18,12,4
19,12,4
20,12,4
21,12,4
22,10,6
23,10,6
24,10,6
25,11,5
26,11,5
27,11,5
28,8,8
29,8,8
30,8,8
31,8,8
32,11,5
33,11,5
34,11,5
35,11,5
36,11,5
37,11,5
38,9,3
39,9,3
40,9,3
41,6,6
42,6,6
43,6,6
44,6,6
45,6,6
46,6,6
47,5,4
48,5,4
49,5,4
50,5,4
51,5,4
52,2,4
53,2,4
54,2,4
55,2,4
56,2,4
57,2,4
58,0,3
59,0,3
60,0,3
61,0,3
62,0,3
63,0,3
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,9,7
10,9,7
11,9,7
12,7,9
13,7,9
14,7,9
15,7,9
16,7,9
17,7,9
18,5,11
19,5,11
20,5,11
21,8,8
22,8,8
23,8,8
24,8,8
25,8,8
26,8,8
27,8,8
28,8,8
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,4,12
7,4,12
8,4,12
9,4,12
10,4,12
11,4,12
12,4,12
13,6,10
14,6,10
15,6,10
16,6,10
17,9,7
18,9,7
19,9,7
20,6,10
21,6,10
22,6,10
23,6,10
24,6,10
25,9,7
26,9,7
27,9,7
28,7,9
29,7,9
30,7,9
31,7,9
32,6,10
33,6,10
34,6,10
35,6,10
36,4,12
37,4,12
38,4,12
39,4,12
40,4,12
41,6,10
42,6,10
43,6,10
44,5,7
45,5,7
46,5,7
47,5,7
48,5,7
49,5,7
50,2,6
51,2,6
52,2,6
53,1,3
54,1,3
55,1,3
56,1,3
57,1,3
58,1,3
59,1,3
60,1,2
61,1,2
62,1,2
63,1,2
64,1,2
65,1,2
66,1,2
67,1,2
68,1,2
69,1,2
70,1,2
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
0,8,8
1,8,8
2,8,8
3,8,8
4,6,10
5,6,10
6,6,10
7,6,10
8,6,10
9,6,10
10,6,10
11,6,10
12,6,10
13,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,12,4
9,12,4
10,12,4
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,8,8
17,8,8
18,8,8
19,6,10
20,6,10
21,6,10
22,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,6,10
7,6,10
8,6,10
9,6,10
10,6,10
11,6,10
12,9,7
13,9,7
14,9,7
15,12,4
16,12,4
17,12,4
18,10,6
19,10,6
20,10,6
21,10,6
22,10,6
23,10,6
24,10,6
25,10,6
26,14,2
27,14,2
28,14,2
29,14,2
0,8,8
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,6,10
11,6,10
12,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,11,5
10,11,5
11,11,5
12,11,5
13,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,11,5
11,11,5
12,11,5
13,12,4
14,12,4
15,12,4
16,12,4
17,12,4
18,14,2
19,14,2
20,14,2
21,14,2
22,15,1
23,15,1
24,15,1
25,15,1
26,15,1
