card_name,times_played
Two Time,1
Lock,1
Lock,1
Two Time,1
Two Time,1
Two Time,1
Peek,1
Trap,1
Two Time,1
Lock,1
Lock,1
Lock,1
Peek,1
Peek,1
Peek,1
Lock,1
Lock,1
Lock,1
Bounty,1
Trap,1
Two Time,1
Peek,1
Inflate,1
Trap,1
Oracle,1
Payback,1
Blind,1
Lock,1
Peek,1
Trap,1
Oracle,1
Bounty,1
Blind,1
Trap,1
Oracle,1
Bounty,1
Scramble,1
Oracle,1
Two Time,1
Peek,1
Scramble,1
Trap,1
Payback,1
Two Time,1
Oracle,1
Bounty,1
Blind,1
Deflate,1
Inflate,1
Peek,1
Trap,1
Two Time,1
Two Time,1
Blind,1
Oracle,1
Oracle,1
Inflate,1
Bounty,1
Bleed,1
Peek,1
