turn,player_cards,demon_cards
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,4,12
10,4,12
11,4,12
12,4,12
13,6,10
14,6,10
15,8,8
16,8,8
17,11,5
18,11,5
19,11,5
20,11,5
21,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,10,6
11,10,6
12,10,6
13,7,9
14,8,8
15,8,8
16,11,5
17,11,5
18,11,5
19,11,5
20,11,5
21,11,5
22,11,5
23,11,5
24,11,5
25,11,5
26,14,2
27,14,2
28,14,2
29,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,11,5
7,11,5
8,11,5
9,11,5
10,11,5
11,13,3
12,13,3
13,13,3
14,13,3
15,14,2
16,14,2
17,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,11,5
12,11,5
13,11,5
14,11,5
15,11,5
16,11,5
17,11,5
18,11,5
19,11,5
20,11,5
21,8,8
22,8,8
23,6,10
24,6,10
25,6,10
26,6,10
27,6,10
28,6,10
29,6,10
30,6,10
31,6,10
32,6,10
33,6,10
34,10,6
35,10,6
36,10,6
37,10,6
38,6,6
39,6,6
40,6,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,6,10
11,6,10
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,6,10
9,6,10
10,6,10
11,10,6
12,10,6
13,11,5
14,11,5
15,11,5
16,11,5
17,11,5
18,11,5
19,11,5
20,11,5
21,11,5
22,11,5
23,11,5
24,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,11,5
7,11,5
8,11,5
9,11,5
10,11,5
11,11,5
12,13,3
13,13,3
14,13,3
15,13,3
16,13,3
17,13,3
18,13,3
19,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,12,4
6,12,4
7,12,4
8,12,4
9,12,4
10,12,4
11,12,4
12,12,4
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,11,5
10,11,5
11,11,5
12,10,6
13,10,6
14,10,6
15,11,5
16,11,5
17,11,5
18,11,5
19,13,3
20,13,3
21,13,3
22,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,12,4
8,12,4
9,12,4
10,12,4
11,13,3
12,13,3
13,13,3
14,13,3
15,13,3
16,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,11,5
10,11,5
11,11,5
12,11,5
13,11,5
14,11,5
15,13,3
16,13,3
17,13,3
18,13,3
19,13,3
20,13,3
21,14,2
22,14,2
23,14,2
24,14,2
25,14,2
26,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,11,5
12,11,5
13,13,3
14,13,3
15,13,3
16,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
14,10,6
15,12,4
16,12,4
17,12,4
18,12,4
19,12,4
20,12,4
21,14,2
22,14,2
23,14,2
24,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
14,10,6
15,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,9,7
8,9,7
9,9,7
10,9,7
11,9,7
12,9,7
13,9,7
14,9,7
15,9,7
16,9,7
17,12,4
18,12,4
19,12,4
20,12,4
21,13,3
22,13,3
23,13,3
24,13,3
25,13,3
26,13,3
27,10,2
28,8,4
29,8,4
30,8,4
31,8,4
32,8,4
33,6,3
34,6,3
35,6,3
36,6,3
37,6,3
38,6,3
39,5,2
40,5,2
41,5,2
42,5,2
43,2,2
44,2,2
45,2,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,11,5
8,11,5
9,11,5
10,11,5
11,11,5
12,11,5
13,11,5
14,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,12,4
8,12,4
9,12,4
10,12,4
11,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
14,10,6
15,10,6
16,10,6
17,10,6
18,10,6
19,10,6
20,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,7,9
7,7,9
8,7,9
9,9,7
10,9,7
11,9,7
12,9,7
13,12,4
14,12,4
15,12,4
16,12,4
17,12,4
18,12,4
19,14,2
20,14,2
21,14,2
22,14,2
23,14,2
24,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,10,6
10,7,9
11,7,9
12,7,9
13,7,9
14,7,9
15,11,5
16,11,5
17,11,5
18,11,5
19,11,5
20,11,5
21,13,3
22,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,11,5
6,11,5
7,11,5
8,11,5
9,11,5
10,11,5
11,12,4
12,12,4
13,12,4
14,12,4
15,13,3
16,13,3
17,13,3
18,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,12,4
6,12,4
7,12,4
8,12,4
9,13,3
10,13,3
11,13,3
12,13,3
13,13,3
14,13,3
15,14,2
16,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,12,4
10,12,4
11,12,4
12,12,4
13,13,3
14,13,3
15,13,3
16,13,3
17,13,3
18,13,3
19,13,3
20,13,3
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,10,6
8,10,6
9,12,4
10,12,4
11,12,4
12,12,4
13,12,4
14,12,4
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,10,6
10,10,6
11,10,6
12,10,6
13,10,6
14,5,11
15,5,11
16,5,11
17,5,11
18,5,11
19,9,7
20,9,7
21,9,7
22,7,9
23,7,9
24,7,9
25,9,7
26,9,7
27,9,7
28,9,7
29,9,7
30,5,11
31,5,11
32,5,11
33,5,11
34,5,11
35,6,10
36,6,10
37,6,10
38,6,7
39,6,7
40,6,7
41,6,7
42,6,7
43,6,7
44,4,6
45,4,6
46,4,6
47,1,6
48,1,6
49,1,6
50,1,6
51,1,6
52,1,6
53,1,3
54,1,3
55,1,3
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,0
64,0,0
65,0,0
66,0,0
0,8,8
1,8,8
2,8,8
3,8,8
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,11,5
8,11,5
9,11,5
10,11,5
11,12,4
12,12,4
13,12,4
14,12,4
15,12,4
16,12,4
17,12,4
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,12,4
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,9,7
8,9,7
9,9,7
10,9,7
11,9,7
12,6,10
13,7,9
14,7,9
15,7,9
16,7,9
17,7,9
18,7,9
19,7,9
20,7,9
21,7,9
22,7,9
23,9,7
24,9,7
0,8,8
1,8,8
2,8,8
3,8,8
0,8,8
1,8,8
2,8,8
3,8,8
4,11,5
5,11,5
6,11,5
7,11,5
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,12,4
12,12,4
13,12,4
14,12,4
15,12,4
16,14,2
17,14,2
18,14,2
19,14,2
20,14,2
21,14,2
22,14,2
23,14,2
24,14,2
25,14,2
26,14,2
27,14,2
28,14,2
0,8,8
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,6,10
0,8,8
1,8,8
