card_name,times_played
Trap,1
Trap,1
Lock,1
Lock,1
Two Time,1
Peek,1
Peek,1
Lock,1
Two Time,1
Two Time,1
Curse,1
Inflate,1
Lock,1
Bounty,1
Two Time,1
Bounty,1
Inflate,1
Scramble,1
Peek,1
Peek,1
Inflate,1
Two Time,1
Scramble,1
Inflate,1
Oracle,1
Scramble,1
Peek,1
Trap,1
Peek,1
Oracle,1
Deflate,1
Trap,1
Oracle,1
Peek,1
Peek,1
Two Time,1
Two Time,1
Two Time,1
Oracle,1
Two Time,1
Scramble,1
Scramble,1
Two Time,1
Fog,1
Windfall,1
Peek,1
Fog,1
Trap,1
Trap,1
Oracle,1
Two Time,1
